Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
1410	-54.95924	-55.87923	0.9199883	0.4218097	0.4218097	0.4218097	0.4218097	0.4218097	0.4218097	0.01834768
1420	-54.13623	-55.24241	1.106189	0.8234281	0.8234281	0.8234281	0.8234281	0.8234281	0.8234281	0.02298089
1430	-57.83017	-59.56396	1.733787	0.9716794	0.9716794	0.9716794	0.9716794	0.9716794	0.9716794	0.01030447
1440	-54.08324	-55.08859	1.005343	0.796224	0.796224	0.796224	0.796224	0.796224	0.796224	0.02598546
1450	-54.71731	-54.75459	0.03727669	1.181034	1.181034	1.181034	1.181034	1.181034	1.181034	0.03975314
1460	-56.12334	-54.07602	-2.047328	2.065176	2.065176	2.065176	2.065176	2.065176	2.065176	0.05103705
1470	-54.30191	-55.35732	1.055409	0.9256336	0.9256336	0.9256336	0.9256336	0.9256336	0.9256336	0.02161711
1480	-54.1987	-55.2293	1.030597	0.6459891	0.6459891	0.6459891	0.6459891	0.6459891	0.6459891	0.02625598
1490	-54.2574	-55.32781	1.070402	0.5785732	0.5785732	0.5785732	0.5785732	0.5785732	0.5785732	0.02396205
1500	-54.41624	-54.69584	0.2795965	1.254227	1.254227	1.254227	1.254227	1.254227	1.254227	0.02719202
1510	-54.33797	-54.59064	0.2526769	1.184282	1.184282	1.184282	1.184282	1.184282	1.184282	0.03185916
1520	-54.39255	-55.48169	1.089139	0.9318301	0.9318301	0.9318301	0.9318301	0.9318301	0.9318301	0.02073287
1530	-54.40904	-55.59291	1.183875	0.5441573	0.5441573	0.5441573	0.5441573	0.5441573	0.5441573	0.02035318
1540	-54.17968	-55.01695	0.8372739	0.8348074	0.8348074	0.8348074	0.8348074	0.8348074	0.8348074	0.02976341
1550	-55.69025	-54.32329	-1.366959	2.011615	2.011615	2.011615	2.011615	2.011615	2.011615	0.02897537
1560	-56.66131	-53.87707	-2.784246	2.570866	2.570866	2.570866	2.570866	2.570866	2.570866	0.03695186
1570	-55.60567	-54.99762	-0.6080412	1.383991	1.383991	1.383991	1.383991	1.383991	1.383991	0.05112599
1580	-54.33873	-54.58173	0.2430019	1.20653	1.20653	1.20653	1.20653	1.20653	1.20653	0.03087045
1590	-55.24832	-54.46372	-0.7845932	1.524562	1.524562	1.524562	1.524562	1.524562	1.524562	0.04566263
1600	-54.86232	-55.6114	0.7490747	0.6551449	0.6551449	0.6551449	0.6551449	0.6551449	0.6551449	0.03490076
1610	-55.22821	-56.30226	1.074048	0.4298492	0.4298492	0.4298492	0.4298492	0.4298492	0.4298492	0.0163071
1620	-54.45051	-55.29881	0.8483028	0.6992938	0.6992938	0.6992938	0.6992938	0.6992938	0.6992938	0.03173022
1630	-55.30555	-54.21095	-1.094599	1.853693	1.853693	1.853693	1.853693	1.853693	1.853693	0.03093628
1640	-54.21985	-54.73388	0.5140322	1.068439	1.068439	1.068439	1.068439	1.068439	1.068439	0.03004893
1650	-55.91905	-55.23177	-0.6872804	1.389025	1.389025	1.389025	1.389025	1.389025	1.389025	0.0547808
1660	-54.28516	-54.94173	0.6565694	1.092677	1.092677	1.092677	1.092677	1.092677	1.092677	0.02502052
1670	-56.17718	-54.44026	-1.736918	2.206259	2.206259	2.206259	2.206259	2.206259	2.206259	0.02773198
1680	-54.7533	-56.14795	1.39465	0.8150319	0.8150319	0.8150319	0.8150319	0.8150319	0.8150319	0.01734667
1690	-54.98818	-54.32482	-0.6633654	1.666399	1.666399	1.666399	1.666399	1.666399	1.666399	0.02998604
1700	-54.56154	-55.49602	0.9344773	1.042454	1.042454	1.042454	1.042454	1.042454	1.042454	0.0205862
1710	-54.58365	-54.37053	-0.2131212	1.386963	1.386963	1.386963	1.386963	1.386963	1.386963	0.03423873
1720	-54.13879	-55.22226	1.083474	0.670915	0.670915	0.670915	0.670915	0.670915	0.670915	0.02506656
1730	-54.23095	-54.73645	0.5054943	1.059854	1.059854	1.059854	1.059854	1.059854	1.059854	0.03073717
1740	-55.03619	-54.23118	-0.8050059	1.710557	1.710557	1.710557	1.710557	1.710557	1.710557	0.03144846
1750	-54.37005	-55.13768	0.7676289	0.8086668	0.8086668	0.8086668	0.8086668	0.8086668	0.8086668	0.03264347
1760	-54.73417	-54.71939	-0.01477648	1.425796	1.425796	1.425796	1.425796	1.425796	1.425796	0.02594389
1770	-54.27989	-54.77689	0.4970056	1.031718	1.031718	1.031718	1.031718	1.031718	1.031718	0.03243143
1780	-56.13913	-54.21207	-1.927056	2.254618	2.254618	2.254618	2.254618	2.254618	2.254618	0.03028438
1790	-57.28008	-53.98079	-3.299292	2.582953	2.582953	2.582953	2.582953	2.582953	2.582953	0.06033216
1800	-54.87453	-54.26818	-0.606354	1.517277	1.517277	1.517277	1.517277	1.517277	1.517277	0.0387938
1810	-55.16495	-54.68791	-0.4770384	1.376477	1.376477	1.376477	1.376477	1.376477	1.376477	0.04553467
1820	-55.32033	-55.76473	0.4443984	0.855923	0.855923	0.855923	0.855923	0.855923	0.855923	0.04318438
1830	-57.82397	-55.56866	-2.255305	1.944423	1.944423	1.944423	1.944423	1.944423	1.944423	0.08132238
1840	-54.86221	-55.0627	0.2004935	1.065815	1.065815	1.065815	1.065815	1.065815	1.065815	0.04129304
1850	-54.98088	-54.40503	-0.5758477	1.464881	1.464881	1.464881	1.464881	1.464881	1.464881	0.04195538
1860	-54.41352	-54.62748	0.2139637	1.161675	1.161675	1.161675	1.161675	1.161675	1.161675	0.03450992
1870	-54.23454	-54.95679	0.7222567	0.8943903	0.8943903	0.8943903	0.8943903	0.8943903	0.8943903	0.03134861
1880	-54.16477	-55.12	0.9552321	0.9268264	0.9268264	0.9268264	0.9268264	0.9268264	0.9268264	0.02385812
1890	-54.25324	-54.70604	0.4527944	1.129862	1.129862	1.129862	1.129862	1.129862	1.129862	0.02876529
1900	-55.04598	-54.80196	-0.2440203	1.556355	1.556355	1.556355	1.556355	1.556355	1.556355	0.02488044
1910	-54.14465	-55.13239	0.9877326	0.9004577	0.9004577	0.9004577	0.9004577	0.9004577	0.9004577	0.02386659
1920	-54.71563	-55.23474	0.5191155	0.9021239	0.9021239	0.9021239	0.9021239	0.9021239	0.9021239	0.03805728
1930	-55.73298	-55.74997	0.01699223	1.059561	1.059561	1.059561	1.059561	1.059561	1.059561	0.05012164
1940	-55.13798	-55.01771	-0.1202689	1.528556	1.528556	1.528556	1.528556	1.528556	1.528556	0.02330351
1950	-54.24484	-55.44523	1.200384	0.8118557	0.8118557	0.8118557	0.8118557	0.8118557	0.8118557	0.02112166
1960	-54.73436	-54.33673	-0.3976331	1.433813	1.433813	1.433813	1.433813	1.433813	1.433813	0.03742588
1970	-55.0683	-55.05605	-0.01225687	1.149993	1.149993	1.149993	1.149993	1.149993	1.149993	0.04418923
1980	-57.02766	-57.846	0.8183412	1.339402	1.339402	1.339402	1.339402	1.339402	1.339402	0.01342954
1990	-54.33519	-55.31673	0.9815355	0.5641756	0.5641756	0.5641756	0.5641756	0.5641756	0.5641756	0.02570566
2000	-54.68314	-54.33559	-0.3475499	1.42446	1.42446	1.42446	1.42446	1.42446	1.42446	0.03628647
2010	-54.26392	-54.84855	0.5846344	0.9784983	0.9784983	0.9784983	0.9784983	0.9784983	0.9784983	0.03219937
2020	-54.34683	-55.09468	0.7478522	1.076471	1.076471	1.076471	1.076471	1.076471	1.076471	0.02346893
2030	-54.28222	-55.05037	0.7681429	0.8402555	0.8402555	0.8402555	0.8402555	0.8402555	0.8402555	0.03173013
2040	-54.68682	-55.35032	0.6635019	0.8049357	0.8049357	0.8049357	0.8049357	0.8049357	0.8049357	0.03633341
2050	-55.24407	-55.74756	0.5034955	0.8248105	0.8248105	0.8248105	0.8248105	0.8248105	0.8248105	0.04193573
2060	-56.6866	-55.85831	-0.828288	1.388211	1.388211	1.388211	1.388211	1.388211	1.388211	0.06318066
2070	-56.29362	-53.81862	-2.475	2.382509	2.382509	2.382509	2.382509	2.382509	2.382509	0.04005717
2080	-59.28664	-56.18076	-3.105877	2.202511	2.202511	2.202511	2.202511	2.202511	2.202511	0.1098891
2090	-54.46183	-54.49978	0.03794879	1.262203	1.262203	1.262203	1.262203	1.262203	1.262203	0.03409803
2100	-54.48435	-54.80776	0.3234068	1.070627	1.070627	1.070627	1.070627	1.070627	1.070627	0.03622807
2110	-54.73359	-54.38599	-0.3476004	1.514868	1.514868	1.514868	1.514868	1.514868	1.514868	0.03010028
2120	-54.85265	-54.48507	-0.3675789	1.555915	1.555915	1.555915	1.555915	1.555915	1.555915	0.02817864
2130	-58.15941	-54.18751	-3.971901	3.220977	3.220977	3.220977	3.220977	3.220977	3.220977	0.03331379
2140	-57.55488	-57.65199	0.09711064	0.8666219	0.8666219	0.8666219	0.8666219	0.8666219	0.8666219	0.06043418
2150	-54.46798	-55.76446	1.296485	0.817702	0.817702	0.817702	0.817702	0.817702	0.817702	0.01909285
2160	-55.37628	-55.13902	-0.2372654	1.226592	1.226592	1.226592	1.226592	1.226592	1.226592	0.04805759
2170	-54.10246	-55.04285	0.94039	0.8909747	0.8909747	0.8909747	0.8909747	0.8909747	0.8909747	0.02530592
2180	-54.84798	-55.34431	0.4963365	0.8931607	0.8931607	0.8931607	0.8931607	0.8931607	0.8931607	0.03935156
2190	-54.36317	-54.93875	0.5755868	0.9479372	0.9479372	0.9479372	0.9479372	0.9479372	0.9479372	0.03391368
2200	-54.83577	-54.31849	-0.5172836	1.472453	1.472453	1.472453	1.472453	1.472453	1.472453	0.03895401
2210	-54.64994	-55.46376	0.8138221	1.110087	1.110087	1.110087	1.110087	1.110087	1.110087	0.02075169
2220	-57.34597	-57.76206	0.4160876	1.522704	1.522704	1.522704	1.522704	1.522704	1.522704	0.01379744
2230	-57.49465	-55.69067	-1.803984	0.2011	0.2011	0.2011	0.2011	0.2011	0.2011	0.0219662
2240	-54.2602	-55.2973	1.037101	0.5873254	0.5873254	0.5873254	0.5873254	0.5873254	0.5873254	0.02501967
2250	-56.96267	-55.10389	-1.858779	2.349064	2.349064	2.349064	2.349064	2.349064	2.349064	0.02319613
2260	-54.22973	-54.72334	0.4936141	1.074698	1.074698	1.074698	1.074698	1.074698	1.074698	0.03035221
2270	-54.84158	-54.74802	-0.09355585	1.228534	1.228534	1.228534	1.228534	1.228534	1.228534	0.04147211
2280	-57.30249	-59.13828	1.835787	0.8558598	0.8558598	0.8558598	0.8558598	0.8558598	0.8558598	0.01074193
2290	-56.39402	-54.74038	-1.653643	2.210536	2.210536	2.210536	2.210536	2.210536	2.210536	0.02528645
