Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
420	12	5	5	14	22	27	14	14	5	5	1	6	11	3	1	9	1	1	1	1	1	28	3	26	14	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	14	5	5	1	1	1	12	1	1	1	1	18	18	13	18	3	14	5	22	5	12	5	5	13	13
430	5	5	5	14	6	27	30	14	4	5	2	6	21	3	1	9	1	1	1	1	1	28	5	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	5	5	5	1	1	1	12	1	1	1	1	21	21	6	27	5	30	24	20	5	5	1	24	6	6
440	22	5	1	14	23	27	1	14	12	5	3	6	2	3	21	9	5	1	2	1	24	28	4	26	4	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	4	5	5	5	24	5	5	5	5	3	21	3	8	2	3	4	12	14	23	2	27	24	22	24	24
450	5	5	23	14	31	27	5	14	5	5	1	6	3	3	1	9	1	1	1	1	1	28	6	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	12	20	1	12	1	1	1	1	1	1	1	1	7	7	1	7	5	5	26	31	4	23	5	26	12	12
460	4	5	21	14	8	27	5	14	5	5	31	6	1	3	1	9	1	1	1	1	1	28	3	26	12	14	5	5	5	5	5	5	3	11	5	5	12	14	5	5	12	12	1	12	1	21	1	1	1	1	1	1	1	1	1	1	1	1	5	31	5	5	5	22	5	29	1	5	12	12
470	5	5	13	14	6	27	5	14	5	5	30	6	1	3	1	9	1	1	1	1	1	28	4	26	29	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	12	29	1	12	1	1	1	1	1	1	1	1	1	1	22	31	5	5	5	20	3	13	4	14	30	30
480	5	5	5	14	2	27	14	14	5	5	2	6	3	3	1	9	1	1	1	1	1	28	20	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	12	20	12	12	1	1	1	12	1	1	7	1	3	7	3	8	12	14	26	20	5	5	23	31	29	29
490	5	5	25	14	6	27	5	14	5	5	13	6	3	3	3	9	1	1	1	1	1	28	18	26	3	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	9	18	18	23	1	1	1	18	1	1	3	7	3	3	8	22	5	5	5	20	31	25	2	31	8	8
500	5	5	3	14	16	27	5	14	5	5	2	6	3	3	5	9	1	1	1	1	1	28	26	26	3	14	5	5	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	17	26	28	28	1	1	28	28	28	28	28	28	31	31	5	31	5	5	31	27	1	14	5	31	5	5
510	15	5	3	14	5	27	5	14	5	5	4	6	4	3	1	9	1	1	1	1	1	28	18	26	5	14	5	5	5	5	5	5	3	11	14	5	5	14	5	5	5	5	5	5	12	29	1	12	1	1	1	1	1	1	4	1	4	4	24	4	27	5	21	27	5	25	3	21	30	30
520	5	5	5	14	5	27	14	14	5	5	5	6	4	3	3	9	1	1	1	1	1	28	6	26	2	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	6	6	20	20	1	1	17	20	17	17	26	26	18	26	2	29	5	14	4	5	28	5	5	28	13	13
530	5	5	25	14	28	27	5	14	5	5	13	6	1	3	1	9	1	1	1	1	9	28	11	26	3	14	5	5	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	23	11	9	23	1	9	1	9	1	1	1	1	1	1	1	20	5	5	4	28	27	25	4	31	9	9
540	5	5	5	14	4	27	20	14	5	5	3	6	3	3	1	9	1	1	1	1	1	28	26	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	6	26	20	20	1	1	1	20	1	1	12	1	21	21	16	21	17	20	31	17	5	5	2	31	16	16
550	5	5	3	14	12	27	7	14	5	5	1	6	3	3	4	9	1	1	1	1	1	28	4	26	15	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	13	15	13	13	1	1	1	20	1	1	26	9	18	26	17	18	5	21	23	12	4	14	2	23	17	17
560	5	5	5	14	20	27	14	14	5	5	1	6	2	3	1	9	1	1	1	1	1	28	26	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	26	26	31	31	1	1	28	31	28	28	28	28	28	28	13	28	5	14	20	20	4	5	4	28	24	24
570	5	5	14	14	20	27	5	14	5	5	12	6	2	3	2	9	2	1	1	1	20	28	6	26	5	14	13	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	13	13	5	20	2	13	13	20	2	13	2	2	2	2	2	2	5	20	5	5	1	20	27	14	4	27	15	15
580	10	5	4	14	22	27	5	14	5	5	3	6	13	3	2	9	2	1	4	1	4	28	7	26	5	14	10	5	5	5	5	5	3	11	3	5	3	3	4	5	4	11	4	10	9	21	4	9	10	4	2	10	2	2	2	2	20	13	4	27	4	5	15	30	5	10	21	15	29	29
590	5	5	14	14	10	27	5	14	15	5	14	6	1	3	1	9	1	1	1	1	1	28	18	26	3	14	4	5	5	5	5	5	11	11	5	5	15	25	5	5	4	15	4	4	9	18	1	9	1	1	1	1	1	1	1	1	1	1	29	21	4	15	1	10	29	14	5	29	29	29
