Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
600	5	5	13	14	4	27	17	14	3	5	5	6	1	3	5	1	5	9	4	1	8	28	14	26	3	14	25	5	1	5	31	5	10	11	4	5	1	10	1	31	1	1	7	29	1	14	11	7	4	19	19	11	14	30	1	14	18	1	13	29	15	26	3	15	3	13	5	3	13	13
610	5	5	30	14	13	27	5	14	5	5	9	6	1	3	1	1	1	9	1	1	1	28	6	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	20	5	5	9	1	12	23	1	12	1	1	1	1	2	9	5	5	5	13	19	30	15	30	24	24
620	5	5	14	14	26	27	14	14	5	5	1	6	21	3	1	1	1	9	1	1	1	28	17	26	3	14	5	5	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	23	26	9	23	1	1	1	9	1	1	1	1	21	21	13	21	5	14	28	31	3	14	2	31	13	13
630	5	5	5	14	28	27	14	14	5	5	24	6	1	3	1	1	1	9	1	1	1	28	26	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	12	31	1	12	1	1	1	1	1	1	1	1	1	1	3	28	5	14	24	28	5	5	3	24	3	3
640	5	5	5	14	23	27	5	14	5	5	2	6	21	3	1	1	1	9	1	1	1	28	26	26	3	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	1	5	1	26	1	1	1	1	1	1	1	1	1	1	21	21	4	27	5	5	15	23	5	5	20	15	28	28
650	5	5	5	14	5	27	5	14	5	5	2	6	3	3	1	1	1	9	1	1	23	28	2	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	13	5	5	23	23	23	23	23	23	28	23	31	31	24	31	5	5	5	5	5	5	3	5	30	30
660	4	5	21	14	22	27	14	14	5	5	2	6	3	3	2	1	1	9	1	1	17	28	8	26	5	14	13	5	5	5	5	5	14	11	5	5	5	14	5	5	5	5	13	13	5	22	2	13	17	17	10	17	26	17	18	26	18	18	2	26	3	14	5	22	27	29	2	27	2	2
670	15	5	2	14	20	27	14	14	5	5	11	6	5	3	3	1	3	9	3	1	3	28	3	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	3	3	3	14	3	3	3	3	7	3	5	7	5	5	20	25	3	14	27	27	4	24	1	31	20	20
680	12	5	4	14	2	27	5	14	5	5	1	6	29	3	1	1	10	9	4	1	4	28	4	26	14	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	15	5	4	25	4	15	4	4	4	4	10	10	1	17	29	29	12	29	23	5	7	28	3	23	5	7	12	12
690	5	5	5	14	5	27	5	14	5	5	4	6	1	3	1	1	1	9	1	1	1	28	1	26	3	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	1	7	1	12	1	1	1	1	1	1	1	1	1	1	1	9	5	5	5	5	5	5	12	5	12	12
700	5	5	1	14	5	27	5	14	5	5	1	6	3	3	1	1	4	9	1	1	17	28	2	26	14	14	5	5	5	5	5	5	3	11	5	5	14	14	5	5	5	14	5	5	5	22	5	5	17	17	24	28	24	24	28	28	31	31	24	31	5	5	5	5	5	12	2	5	24	24
710	5	5	5	14	26	27	5	14	5	5	1	6	3	3	1	1	1	9	1	1	1	28	30	26	3	14	1	5	5	5	5	5	9	11	5	5	12	23	5	5	12	12	1	12	1	30	1	1	1	1	1	1	1	1	16	1	16	16	2	16	5	5	4	31	31	5	2	31	2	2
720	14	5	3	14	21	27	5	14	5	5	1	6	3	3	2	1	1	9	1	1	1	28	26	26	3	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	16	26	31	27	1	1	7	31	7	7	8	16	8	8	5	16	5	5	13	21	5	14	5	13	5	5
730	23	5	5	14	21	27	14	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	16	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	27	5	5	1	1	1	12	1	1	1	1	6	1	3	6	3	14	1	21	26	23	21	26	21	21
740	5	5	14	14	27	27	5	14	5	5	6	6	1	3	1	1	1	9	1	1	1	28	16	26	3	14	5	5	5	5	5	5	11	11	5	5	14	25	5	5	5	14	5	5	1	16	1	12	1	1	1	1	1	1	1	1	1	1	12	6	5	5	1	27	3	14	5	7	12	12
750	1	5	25	14	27	27	5	14	5	5	1	6	1	3	1	1	1	9	1	1	1	28	1	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	12	12	1	12	1	1	1	1	1	1	1	1	1	1	1	1	5	5	27	27	3	29	20	27	20	20
760	3	5	3	14	16	27	5	14	5	5	1	6	1	3	23	1	3	9	1	1	22	28	31	26	5	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	5	31	5	5	27	27	7	27	3	7	29	29	25	29	4	29	5	5	13	27	3	3	3	22	11	11
770	5	5	5	14	5	27	5	14	5	5	2	6	18	3	1	1	1	9	1	1	1	28	7	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	12	7	1	12	1	1	1	1	1	1	1	1	18	18	6	26	5	5	5	5	5	5	2	5	6	6
780	5	5	14	14	27	27	5	14	5	5	2	6	3	3	1	1	1	9	1	1	1	28	16	26	3	14	5	5	5	5	5	5	25	11	5	5	5	25	5	5	5	5	5	5	16	16	27	27	1	1	16	27	16	16	16	16	27	16	3	27	5	5	16	27	5	14	13	27	22	22
790	5	5	5	14	31	27	25	14	5	5	2	6	4	3	1	1	1	9	1	1	1	28	5	26	14	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	5	14	5	5	1	1	1	12	1	1	1	1	9	9	1	17	4	25	31	31	5	5	22	31	27	27
800	5	5	5	14	22	27	14	14	5	5	2	6	3	3	1	1	9	9	1	1	1	28	26	26	3	14	5	5	5	5	5	5	4	11	5	5	5	15	5	5	5	5	5	5	1	26	1	12	1	1	1	1	9	9	9	9	29	18	27	31	5	14	27	22	5	5	3	27	27	27
810	5	5	5	14	4	27	3	14	3	5	1	6	4	3	4	1	4	9	5	1	5	28	8	26	3	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	3	8	14	14	5	5	4	14	4	4	4	4	4	4	2	9	1	3	7	9	3	5	31	7	31	31
820	1	5	9	14	2	27	3	14	3	5	5	6	3	3	4	1	20	9	2	1	15	28	27	26	5	14	14	5	14	5	5	5	11	11	5	5	5	25	5	14	5	5	3	14	3	27	2	3	2	24	2	2	20	20	30	28	30	30	2	30	2	3	5	2	5	9	2	5	2	2
830	2	5	2	14	23	27	5	14	5	5	19	6	13	3	5	1	5	9	1	1	1	28	4	26	4	14	7	5	3	5	3	5	1	11	8	5	2	16	3	3	1	8	1	7	27	4	5	27	14	1	12	14	27	12	5	27	2	13	3	19	1	5	18	23	3	2	29	18	29	29
840	1	5	1	14	3	27	5	14	6	5	1	6	5	3	4	1	5	9	6	1	3	28	24	26	3	14	1	5	3	5	3	5	4	11	15	5	10	15	4	3	1	10	1	1	22	30	27	27	2	16	13	27	15	13	13	15	1	13	4	1	7	20	3	7	26	1	5	26	15	15
850	4	5	4	14	17	27	2	14	11	5	1	6	3	3	6	1	13	9	3	1	3	28	5	26	5	14	15	5	4	5	8	5	4	11	16	5	22	26	2	19	4	22	3	15	5	5	16	14	1	3	4	16	2	24	1	6	7	7	2	7	1	19	5	17	5	4	13	5	13	13
860	2	5	5	14	1	27	5	14	5	5	3	6	3	3	1	1	1	9	1	1	1	28	5	26	5	14	5	5	5	5	5	5	18	11	5	5	14	29	5	5	5	14	5	5	5	5	5	5	1	1	1	12	1	1	18	1	3	18	16	3	1	5	1	1	1	13	4	1	26	26
870	1	5	3	14	21	27	5	14	15	5	1	6	5	3	5	1	4	9	1	1	15	28	5	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	5	5	5	5	5	23	5	5	15	15	5	15	5	5	4	12	5	15	3	21	20	7	17	27	17	17
880	5	5	14	14	6	27	5	14	5	5	2	6	3	3	7	1	4	9	1	1	1	28	18	26	5	14	5	5	5	5	5	5	3	11	5	5	5	14	5	5	5	5	5	5	23	29	9	23	1	1	4	9	4	4	18	18	18	18	3	26	5	5	5	20	27	14	2	27	8	8
890	5	5	14	14	14	27	5	14	5	5	2	6	3	3	1	1	1	9	1	1	20	28	3	26	14	14	5	5	5	5	5	5	11	11	5	5	5	25	5	5	5	5	5	5	14	14	5	14	20	20	20	20	20	20	17	20	26	26	14	26	5	5	14	14	5	14	5	14	14	14
