Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
1410	-55.68823	-55.99372	0.3054913	0.9361629	0.9361629	0.9361629	0.9361629	0.9361629	0.9361629	0.04513583
1420	-55.55832	-55.87495	0.3166289	0.9442548	0.9442548	0.9442548	0.9442548	0.9442548	0.9442548	0.04415702
1430	-54.78026	-56.001	1.220739	0.4990899	0.4990899	0.4990899	0.4990899	0.4990899	0.4990899	0.01782626
1440	-54.62061	-55.14467	0.5240619	0.9658219	0.9658219	0.9658219	0.9658219	0.9658219	0.9658219	0.03483439
1450	-54.27702	-54.99014	0.7131285	1.016204	1.016204	1.016204	1.016204	1.016204	1.016204	0.0267669
1460	-58.94898	-54.38408	-4.564893	3.551091	3.551091	3.551091	3.551091	3.551091	3.551091	0.03236453
1470	-54.3422	-55.06342	0.7212199	1.060356	1.060356	1.060356	1.060356	1.060356	1.060356	0.02475249
1480	-55.22339	-55.66664	0.4432449	0.9101346	0.9101346	0.9101346	0.9101346	0.9101346	0.9101346	0.04065769
1490	-57.23031	-54.13651	-3.093802	2.495163	2.495163	2.495163	2.495163	2.495163	2.495163	0.05885671
1500	-58.89363	-56.96993	-1.923708	1.733119	1.733119	1.733119	1.733119	1.733119	1.733119	0.09173617
1510	-55.40625	-55.13371	-0.2725374	1.271665	1.271665	1.271665	1.271665	1.271665	1.271665	0.04567056
1520	-54.9483	-54.81976	-0.1285411	1.266944	1.266944	1.266944	1.266944	1.266944	1.266944	0.03990835
1530	-54.76431	-54.46684	-0.2974682	1.473747	1.473747	1.473747	1.473747	1.473747	1.473747	0.03118345
1540	-54.99443	-54.3083	-0.6861343	1.620373	1.620373	1.620373	1.620373	1.620373	1.620373	0.03382358
1550	-54.39802	-55.20718	0.8091596	1.048004	1.048004	1.048004	1.048004	1.048004	1.048004	0.02312778
1560	-54.98511	-56.14996	1.164851	0.4645191	0.4645191	0.4645191	0.4645191	0.4645191	0.4645191	0.01701986
1570	-58.59831	-60.01681	1.418498	1.190619	1.190619	1.190619	1.190619	1.190619	1.190619	0.009814214
1580	-55.43008	-54.64251	-0.7875726	1.787326	1.787326	1.787326	1.787326	1.787326	1.787326	0.02623099
1590	-56.06334	-54.24394	-1.819398	2.201671	2.201671	2.201671	2.201671	2.201671	2.201671	0.03040992
1600	-54.5926	-54.69699	0.1043889	1.331655	1.331655	1.331655	1.331655	1.331655	1.331655	0.02784974
1610	-54.57497	-54.63722	0.06225129	1.327885	1.327885	1.327885	1.327885	1.327885	1.327885	0.02926658
1620	-54.3944	-55.62923	1.234834	0.5880287	0.5880287	0.5880287	0.5880287	0.5880287	0.5880287	0.02054626
1630	-54.20091	-55.19409	0.9931759	0.8417788	0.8417788	0.8417788	0.8417788	0.8417788	0.8417788	0.02529916
1640	-54.54129	-54.64644	0.1051515	1.260583	1.260583	1.260583	1.260583	1.260583	1.260583	0.03198146
1650	-56.2767	-54.13692	-2.139783	2.126801	2.126801	2.126801	2.126801	2.126801	2.126801	0.04910082
1660	-54.45557	-54.73393	0.2783603	1.186213	1.186213	1.186213	1.186213	1.186213	1.186213	0.03094127
1670	-55.57699	-54.1662	-1.410796	1.86067	1.86067	1.86067	1.86067	1.86067	1.86067	0.04181223
1680	-54.58598	-55.71818	1.132205	0.9451141	0.9451141	0.9451141	0.9451141	0.9451141	0.9451141	0.01951178
1690	-55.69478	-54.05566	-1.639123	1.99286	1.99286	1.99286	1.99286	1.99286	1.99286	0.03959385
1700	-56.49919	-54.91173	-1.587462	1.787747	1.787747	1.787747	1.787747	1.787747	1.787747	0.05831907
1710	-54.96899	-55.68833	0.7193437	0.7483229	0.7483229	0.7483229	0.7483229	0.7483229	0.7483229	0.0356002
1720	-54.34655	-54.86407	0.5175176	1.102908	1.102908	1.102908	1.102908	1.102908	1.102908	0.02825555
1730	-56.55509	-54.0252	-2.52989	2.480962	2.480962	2.480962	2.480962	2.480962	2.480962	0.03448647
1740	-56.49835	-55.00627	-1.492074	2.170103	2.170103	2.170103	2.170103	2.170103	2.170103	0.02343623
1750	-58.41291	-55.52863	-2.884281	2.885604	2.885604	2.885604	2.885604	2.885604	2.885604	0.02161805
1760	-54.22254	-55.12509	0.902554	0.9172406	0.9172406	0.9172406	0.9172406	0.9172406	0.9172406	0.02545778
1770	-56.88867	-54.15658	-2.732094	2.615928	2.615928	2.615928	2.615928	2.615928	2.615928	0.03198176
1780	-54.82694	-54.45661	-0.370325	1.445429	1.445429	1.445429	1.445429	1.445429	1.445429	0.03555896
1790	-55.19606	-55.87476	0.6787013	0.7349794	0.7349794	0.7349794	0.7349794	0.7349794	0.7349794	0.03728046
1800	-55.07028	-55.95895	0.8886662	1.136999	1.136999	1.136999	1.136999	1.136999	1.136999	0.01836963
1810	-54.65406	-55.53348	0.8794182	0.5051165	0.5051165	0.5051165	0.5051165	0.5051165	0.5051165	0.02545895
1820	-54.71634	-55.91499	1.19865	0.9357919	0.9357919	0.9357919	0.9357919	0.9357919	0.9357919	0.01848589
1830	-55.23101	-56.6873	1.456297	0.8678126	0.8678126	0.8678126	0.8678126	0.8678126	0.8678126	0.0155039
1840	-55.97999	-55.51073	-0.4692594	1.752366	1.752366	1.752366	1.752366	1.752366	1.752366	0.02056034
1850	-55.25712	-54.32253	-0.934586	1.653006	1.653006	1.653006	1.653006	1.653006	1.653006	0.04046393
1860	-55.02096	-54.33676	-0.6842009	1.578319	1.578319	1.578319	1.578319	1.578319	1.578319	0.03689417
1870	-55.02866	-55.25169	0.2230321	1.065038	1.065038	1.065038	1.065038	1.065038	1.065038	0.04042437
1880	-56.35667	-55.02179	-1.33488	1.680927	1.680927	1.680927	1.680927	1.680927	1.680927	0.05690273
1890	-55.20274	-54.85929	-0.343458	1.336203	1.336203	1.336203	1.336203	1.336203	1.336203	0.04319076
1900	-56.8787	-54.79944	-2.079261	1.985688	1.985688	1.985688	1.985688	1.985688	1.985688	0.06243578
1910	-54.5644	-54.72396	0.1595632	1.307546	1.307546	1.307546	1.307546	1.307546	1.307546	0.02764155
1920	-56.94477	-53.86725	-3.077521	2.60877	2.60877	2.60877	2.60877	2.60877	2.60877	0.04584327
1930	-54.83046	-54.87625	0.04578826	1.195488	1.195488	1.195488	1.195488	1.195488	1.195488	0.03838007
1940	-54.51204	-55.31636	0.8043205	0.7997711	0.7997711	0.7997711	0.7997711	0.7997711	0.7997711	0.03168693
1950	-54.2832	-54.99414	0.7109398	1.024963	1.024963	1.024963	1.024963	1.024963	1.024963	0.02646392
1960	-54.5829	-54.63902	0.05611466	1.33397	1.33397	1.33397	1.33397	1.33397	1.33397	0.02909297
1970	-55.00392	-54.49881	-0.5051097	1.613645	1.613645	1.613645	1.613645	1.613645	1.613645	0.02862762
1980	-54.54165	-55.11548	0.5738295	0.9543772	0.9543772	0.9543772	0.9543772	0.9543772	0.9543772	0.03367568
1990	-55.42228	-55.72723	0.3049446	1.409737	1.409737	1.409737	1.409737	1.409737	1.409737	0.01947287
2000	-54.57297	-55.90904	1.336067	0.8098834	0.8098834	0.8098834	0.8098834	0.8098834	0.8098834	0.01847141
2010	-54.32564	-55.51764	1.192001	0.6072747	0.6072747	0.6072747	0.6072747	0.6072747	0.6072747	0.02183537
2020	-54.28958	-54.97974	0.6901584	0.9860377	0.9860377	0.9860377	0.9860377	0.9860377	0.9860377	0.02865876
2030	-55.09881	-55.37807	0.2792576	1.023741	1.023741	1.023741	1.023741	1.023741	1.023741	0.04082797
2040	-58.97705	-53.85063	-5.126421	3.548344	3.548344	3.548344	3.548344	3.548344	3.548344	0.05703542
2050	-54.35634	-54.98913	0.6327873	0.9813272	0.9813272	0.9813272	0.9813272	0.9813272	0.9813272	0.03056019
2060	-54.20936	-55.15463	0.9452739	0.8811885	0.8811885	0.8811885	0.8811885	0.8811885	0.8811885	0.02546685
2070	-54.58381	-55.5109	0.9270845	0.5681961	0.5681961	0.5681961	0.5681961	0.5681961	0.5681961	0.02729403
2080	-56.14065	-56.69563	0.5549827	0.6682623	0.6682623	0.6682623	0.6682623	0.6682623	0.6682623	0.04250463
2090	-54.97178	-55.21629	0.2445026	1.061979	1.061979	1.061979	1.061979	1.061979	1.061979	0.03976494
2100	-56.18641	-53.98177	-2.204639	2.211111	2.211111	2.211111	2.211111	2.211111	2.211111	0.04381822
2110	-54.67702	-55.56386	0.8868449	0.5671147	0.5671147	0.5671147	0.5671147	0.5671147	0.5671147	0.02837335
2120	-54.693	-55.37098	0.6779883	1.167005	1.167005	1.167005	1.167005	1.167005	1.167005	0.02148961
2130	-54.94782	-54.92268	-0.02514146	1.211515	1.211515	1.211515	1.211515	1.211515	1.211515	0.03998991
2140	-56.20649	-54.05395	-2.152539	2.307364	2.307364	2.307364	2.307364	2.307364	2.307364	0.03395914
2150	-55.00827	-55.75279	0.7445244	0.5134654	0.5134654	0.5134654	0.5134654	0.5134654	0.5134654	0.029714
2160	-55.43446	-56.03934	0.604872	0.3598328	0.3598328	0.3598328	0.3598328	0.3598328	0.3598328	0.0175277
2170	-54.78353	-54.603	-0.1805247	1.467966	1.467966	1.467966	1.467966	1.467966	1.467966	0.02807576
2180	-56.6118	-53.91145	-2.700348	2.507404	2.507404	2.507404	2.507404	2.507404	2.507404	0.0387203
2190	-59.46866	-55.30315	-4.165511	2.722395	2.722395	2.722395	2.722395	2.722395	2.722395	0.1079979
2200	-55.11089	-54.31467	-0.7962204	1.616335	1.616335	1.616335	1.616335	1.616335	1.616335	0.03808386
2210	-55.98972	-54.23884	-1.750881	2.167469	2.167469	2.167469	2.167469	2.167469	2.167469	0.03052886
2220	-54.28633	-55.45104	1.164708	0.6302116	0.6302116	0.6302116	0.6302116	0.6302116	0.6302116	0.02279247
2230	-55.89276	-55.06173	-0.8310364	1.488972	1.488972	1.488972	1.488972	1.488972	1.488972	0.05151564
2240	-56.11304	-55.53782	-0.5752176	1.343706	1.343706	1.343706	1.343706	1.343706	1.343706	0.05364736
2250	-55.57579	-54.26892	-1.30687	1.958332	1.958332	1.958332	1.958332	1.958332	1.958332	0.03057654
2260	-55.56858	-55.02204	-0.5465355	1.730808	1.730808	1.730808	1.730808	1.730808	1.730808	0.02325863
2270	-55.41281	-54.45245	-0.9603681	1.627372	1.627372	1.627372	1.627372	1.627372	1.627372	0.04384092
2280	-55.09305	-54.89202	-0.2010224	1.279727	1.279727	1.279727	1.279727	1.279727	1.279727	0.04185893
2290	-55.4497	-55.79706	0.3473586	0.9389588	0.9389588	0.9389588	0.9389588	0.9389588	0.9389588	0.0431251
2300	-55.97565	-55.74249	-0.2331553	1.191736	1.191736	1.191736	1.191736	1.191736	1.191736	0.05108148
2310	-54.80291	-54.80196	-0.0009475753	1.424185	1.424185	1.424185	1.424185	1.424185	1.424185	0.0256721
2320	-56.75118	-55.7665	-0.9846821	1.478831	1.478831	1.478831	1.478831	1.478831	1.478831	0.06134841
2330	-54.88788	-56.39109	1.503216	0.6240206	0.6240206	0.6240206	0.6240206	0.6240206	0.6240206	0.01618855
2340	-54.38511	-55.28307	0.89796	0.7685667	0.7685667	0.7685667	0.7685667	0.7685667	0.7685667	0.02946567
