Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35
620	5	5	5	14	1	27	5	14	5	5	2	6	3	3	1	1	1	9	1	1	1	28	16	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	27	5	5	1	1	1	12	1	1	17	1	26	26	31	26	14	5	6	21	5	5	4	20	31	31
630	4	5	27	14	1	27	21	14	1	5	4	6	3	3	3	1	3	9	5	1	5	28	26	26	5	14	5	5	5	5	3	11	5	5	5	5	5	5	14	14	14	14	14	14	3	31	14	14	5	5	5	14	14	14	3	14	3	3	14	11	1	21	1	1	5	31	5	12	14	14
640	5	5	5	14	26	27	5	14	5	5	1	6	3	3	1	1	1	9	1	1	12	28	7	26	3	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	15	15	5	15	1	7	1	12	1	12	1	1	1	1	1	1	7	7	28	7	5	5	24	31	5	5	3	24	31	31
650	5	5	13	14	5	27	5	14	5	5	2	6	21	3	1	1	4	9	1	1	12	28	10	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	24	5	5	12	12	4	12	4	4	1	9	29	21	7	31	5	5	5	5	22	13	5	22	21	21
660	5	5	21	14	7	27	11	14	5	5	4	6	3	3	1	1	1	9	1	1	1	28	4	26	12	14	5	5	5	5	3	11	5	5	5	5	5	5	5	14	5	5	5	5	12	23	1	12	1	1	1	1	1	1	6	1	16	16	5	26	4	25	18	18	5	21	5	29	5	5
670	5	5	5	14	5	27	3	14	5	5	1	6	3	3	1	1	1	9	1	1	28	28	3	26	3	14	5	5	5	5	4	11	5	5	5	5	5	5	5	15	5	5	5	5	3	3	3	14	28	28	31	31	31	31	31	31	29	31	16	29	14	14	30	14	1	5	1	31	16	16
680	5	5	22	14	19	27	14	14	5	5	1	6	3	3	1	1	1	9	1	1	1	28	31	26	5	14	5	5	5	5	3	11	5	5	5	5	5	5	5	14	5	5	5	5	26	31	31	31	1	1	31	31	30	31	27	31	27	27	5	27	3	14	31	19	3	22	2	31	13	13
690	5	5	5	14	12	27	5	14	5	5	1	6	3	3	1	1	1	9	1	1	1	28	18	26	5	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	15	15	5	15	15	29	5	15	1	1	12	12	12	12	12	12	21	21	12	21	5	5	1	12	5	5	1	12	12	12
700	5	5	14	14	28	27	14	14	5	5	2	6	3	3	1	1	1	9	1	1	17	28	26	26	5	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	15	15	4	15	31	31	28	31	1	17	28	28	28	28	28	28	31	31	25	31	3	14	31	31	3	14	3	31	25	25
710	5	5	5	14	12	27	3	14	5	5	9	6	1	3	1	1	1	9	1	1	1	28	11	26	5	14	5	5	5	5	4	11	5	5	5	5	5	5	5	15	5	5	5	5	5	25	5	5	1	1	1	12	1	1	1	1	1	1	24	9	5	14	13	12	5	5	5	13	24	24
720	5	5	14	14	16	27	5	14	5	5	1	6	3	3	20	1	4	9	1	1	1	28	10	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	24	15	5	1	1	4	23	4	4	31	28	28	31	5	28	5	5	12	27	3	14	13	21	13	13
730	5	5	19	14	5	27	5	14	5	5	13	6	1	3	1	1	1	9	1	1	1	28	31	26	3	14	5	5	5	5	15	11	5	5	5	5	5	5	5	15	5	5	5	5	12	31	12	12	1	1	1	12	1	1	1	1	1	1	20	20	5	5	3	5	3	30	2	3	20	20
740	5	5	5	14	27	27	5	14	5	5	2	6	3	3	1	1	4	9	1	1	1	28	16	26	5	14	5	5	5	5	4	11	5	5	5	5	5	5	15	15	15	15	5	15	27	27	27	27	1	1	20	27	28	28	28	28	31	31	11	31	5	5	26	27	5	5	3	31	11	11
750	5	5	3	14	5	27	14	14	5	5	2	6	3	3	1	1	1	9	1	1	1	28	26	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	21	31	21	21	1	1	21	21	21	21	21	21	21	21	20	27	5	14	5	5	5	14	5	5	20	20
760	31	5	3	14	29	27	5	14	22	5	1	6	3	3	4	1	1	9	1	1	23	28	11	26	3	14	5	5	5	5	3	11	5	5	5	5	5	5	5	14	5	5	5	5	3	11	5	14	23	23	12	23	12	12	28	23	31	31	11	31	2	22	2	31	17	31	3	17	11	11
770	4	5	14	14	13	27	5	14	5	5	27	6	4	3	15	1	5	9	4	1	5	28	5	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	5	5	5	5	4	15	4	4	5	31	5	5	2	13	30	25	26	30	31	31
780	5	5	14	14	27	27	5	14	5	5	29	6	3	3	3	1	3	9	3	1	3	28	19	26	5	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	3	30	3	14	3	3	3	3	3	3	3	3	3	3	10	29	3	5	3	27	19	14	4	19	10	10
790	1	5	13	14	4	27	5	14	2	5	4	6	9	3	5	1	4	9	5	1	5	28	7	26	3	14	5	5	5	5	5	11	5	5	5	5	5	5	5	5	5	5	5	5	3	7	3	14	4	5	4	11	4	4	4	15	4	9	15	4	4	13	10	4	4	20	3	10	25	25
