Iteration	Posterior	Likelihood	Prior	er[1][1]	er[2][2]	er[3][3]	er[4][4]	er[5][5]	extirpation_rate	rate_bg
1240	-55.47364	-56.35279	0.879157	0.474337	0.474337	0.474337	0.474337	0.474337	0.474337	0.02338219
1250	-58.43764	-54.3763	-4.061334	2.743235	2.743235	2.743235	2.743235	2.743235	2.743235	0.09330087
1260	-54.75398	-55.41758	0.6636049	0.9863766	0.9863766	0.9863766	0.9863766	0.9863766	0.9863766	0.02941534
1270	-54.81123	-55.23163	0.4204035	1.072565	1.072565	1.072565	1.072565	1.072565	1.072565	0.03277364
1280	-65.23311	-55.1197	-10.11341	5.941613	5.941613	5.941613	5.941613	5.941613	5.941613	0.1664093
1290	-56.38734	-53.86759	-2.519754	2.27409	2.27409	2.27409	2.27409	2.27409	2.27409	0.0525791
1300	-58.23973	-57.72226	-0.517474	1.157211	1.157211	1.157211	1.157211	1.157211	1.157211	0.07229378
1310	-55.26635	-55.06322	-0.2031371	1.267798	1.267798	1.267798	1.267798	1.267798	1.267798	0.04292832
1320	-54.75825	-55.59384	0.8355835	0.9061133	0.9061133	0.9061133	0.9061133	0.9061133	0.9061133	0.02759914
1330	-60.93694	-54.62074	-6.316205	3.70232	3.70232	3.70232	3.70232	3.70232	3.70232	0.1413073
1340	-57.23432	-53.54988	-3.68444	2.825982	2.825982	2.825982	2.825982	2.825982	2.825982	0.05419749
1350	-55.05286	-54.98863	-0.06423091	1.242851	1.242851	1.242851	1.242851	1.242851	1.242851	0.03919344
1360	-55.39225	-54.94677	-0.4454747	1.364119	1.364119	1.364119	1.364119	1.364119	1.364119	0.0452319
1370	-56.23874	-54.41403	-1.824708	2.221838	2.221838	2.221838	2.221838	2.221838	2.221838	0.02929598
1380	-56.20716	-55.63839	-0.5687762	1.324013	1.324013	1.324013	1.324013	1.324013	1.324013	0.05543152
1390	-56.3435	-56.58466	0.241164	0.9202073	0.9202073	0.9202073	0.9202073	0.9202073	0.9202073	0.04913947
1400	-55.86351	-57.40897	1.545459	0.6763044	0.6763044	0.6763044	0.6763044	0.6763044	0.6763044	0.0158029
